source_index,target_index
0,8
0,58
0,223
1,108
1,179
1,252
1,94
2,64
2,163
2,276
2,109
3,43
3,237
3,213
3,185
3,90
3,126
4,3
4,165
4,232
4,111
4,242
4,156
4,93
5,161
5,137
5,203
5,45
5,186
6,197
6,166
6,7
6,72
6,174
6,148
7,32
7,130
7,236
7,13
7,48
7,117
8,233
8,114
8,172
8,29
9,40
9,70
9,15
10,80
10,187
10,157
10,247
11,256
11,129
11,38
11,230
11,234
11,159
12,138
12,77
12,81
12,182
12,122
12,190
12,63
13,177
13,116
13,149
13,246
13,55
13,188
14,121
14,26
14,12
15,2
15,175
16,240
16,23
16,134
16,183
17,162
17,131
17,167
17,211
17,191
18,196
18,119
18,59
18,92
18,158
19,88
19,140
19,255
20,210
20,66
20,11
21,193
21,170
21,95
22,194
22,71
22,171
22,79
22,243
22,248
22,27
23,160
23,250
24,673
24,101
24,198
24,679
24,41
24,212
25,73
25,84
25,201
26,30
27,218
27,141
27,206
28,24
28,142
28,118
29,120
29,100
29,52
29,200
30,17
30,164
30,228
31,0
31,42
31,202
31,51
31,19
31,189
32,68
33,146
34,65
34,173
34,112
34,18
34,217
34,154
35,1
35,180
35,245
35,22
35,153
36,57
36,97
36,105
37,169
37,205
37,49
37,147
37,89
37,220
38,231
38,16
38,176
38,91
38,253
39,110
39,209
39,54
39,215
39,125
40,99
40,195
40,221
40,14
41,39
41,204
41,143
41,85
41,123
41,222
42,208
42,82
42,132
42,46
43,168
43,25
44,128
44,224
45,74
45,214
45,133
45,86
46,127
47,96
47,226
47,103
47,235
47,56
48,75
48,76
49,5
49,37
49,239
50,104
50,83
50,31
51,145
51,155
51,181
52,152
52,44
52,28
53,35
53,136
53,78
53,178
53,87
54,241
54,67
54,36
54,254
55,34
55,115
55,139
55,102
56,62
57,107
57,238
58,33
58,20
58,251
58,124
58,61
59,10
59,50
59,69
59,207
60,60
60,47
60,135
61,21
61,4
61,53
62,98
62,229
62,106
62,244
62,151
62,184
62,216
63,9
63,225
64,192
64,219
64,150
64,6
65,144
65,249
66,113
66,227
66,199
67,417
67,388
67,328
67,306
67,383
68,360
68,351
68,327
69,345
69,362
69,409
69,268
70,272
70,280
70,314
71,401
71,389
71,335
72,376
72,412
72,418
72,348
73,421
73,359
73,301
73,311
73,350
74,297
74,393
74,270
74,307
74,380
75,296
75,323
75,275
75,387
76,385
76,356
76,403
76,372
76,408
77,293
77,426
77,300
77,334
77,399
77,371
77,379
78,423
78,346
78,394
78,391
79,290
79,291
79,261
79,397
79,367
79,402
79,339
79,349
80,428
80,310
80,374
80,312
80,286
80,287
81,354
81,420
81,400
81,273
81,370
81,308
82,347
82,292
82,278
83,337
83,316
83,405
84,424
84,340
84,269
85,329
85,322
85,410
86,304
86,267
86,343
86,295
87,352
87,384
88,299
88,332
88,366
88,271
89,355
89,324
89,361
89,277
89,313
90,369
90,266
90,342
90,415
91,357
91,422
91,326
91,373
91,309
92,303
92,263
93,321
93,386
93,262
93,392
93,398
93,319
94,338
94,427
94,317
94,302
95,368
95,282
95,378
96,257
96,411
96,413
97,341
98,320
98,344
98,336
98,285
99,674
99,390
99,680
99,298
99,330
99,331
99,365
99,279
100,353
100,260
100,395
100,305
100,406
100,381
101,288
101,377
101,382
101,407
102,325
103,258
103,425
103,404
103,375
103,283
104,274
104,419
104,284
104,333
105,289
105,396
105,318
106,315
106,414
106,364
106,358
107,416
107,259
107,265
107,363
107,281
108,465
108,526
108,462
108,511
109,489
109,458
109,527
109,433
109,535
109,441
109,510
110,453
110,461
110,495
110,497
110,532
111,487
111,459
111,479
112,512
112,451
112,484
112,525
112,504
113,490
113,476
113,447
114,472
114,449
115,432
115,536
115,442
115,483
116,454
116,533
116,503
116,537
116,445
117,448
117,519
117,430
117,499
117,438
118,481
118,452
118,494
118,439
118,473
118,506
119,485
120,466
120,443
120,437
121,469
122,434
122,491
122,468
123,480
123,457
123,486
123,496
124,294
124,455
124,264
124,429
124,531
124,436
124,507
125,456
125,508
125,435
125,444
125,509
126,440
126,514
126,475
127,522
127,524
127,464
127,530
127,478
128,460
128,528
128,471
128,505
128,446
129,482
129,515
129,517
129,523
129,502
130,450
130,516
130,488
130,492
130,467
130,474
131,521
131,493
131,431
131,463
131,498
132,520
132,501
132,477
132,534
133,470
134,513
134,500
134,518
134,529
135,577
135,610
135,553
135,587
135,623
135,656
136,545
136,613
136,649
136,619
136,562
136,725
136,599
136,571
137,657
137,670
138,601
138,548
138,582
139,578
139,643
139,612
139,647
139,600
140,579
140,565
140,598
140,666
140,543
141,580
142,627
142,659
143,554
143,622
144,618
145,608
145,605
146,655
146,626
146,539
146,633
146,603
147,614
147,593
147,602
147,541
147,639
148,546
148,611
148,624
148,630
148,636
148,540
148,638
149,552
149,588
149,561
149,594
149,596
149,634
149,669
150,568
150,635
150,597
150,549
151,538
151,563
151,651
152,644
152,653
152,665
152,667
152,607
153,642
153,551
153,559
153,574
153,575
154,558
155,654
155,567
156,570
156,668
156,557
156,604
157,640
157,589
157,625
157,595
157,662
158,592
158,658
158,629
158,661
158,663
158,637
158,606
159,617
159,542
160,632
160,585
160,573
160,615
161,641
161,646
161,616
161,590
161,628
161,566
161,631
161,664
162,609
162,572
162,550
163,583
164,547
164,709
164,687
165,671
165,569
165,564
165,591
166,584
166,621
166,645
166,650
167,544
167,660
167,560
167,556
168,576
168,648
169,681
169,676
169,678
170,682
170,684
170,677
171,672
171,675
171,685
172,688
172,722
172,692
173,711
173,683
173,715
173,719
173,720
173,693
174,712
174,713
174,689
174,724
174,697
174,700
174,702
175,705
175,717
176,708
176,581
176,716
176,620
176,686
176,726
177,704
177,706
177,694
178,586
178,555
178,652
178,695
179,696
179,703
179,699
179,728
180,710
180,714
180,718
180,723
180,691
180,727
181,721
181,698
181,701
182,690
182,707
